id,premium,name,department,has_test,response_letter_required,area,salary,salary_range,type,address,response_url,sort_point_distance,published_at,created_at,archived,apply_alternate_url,show_logo_in_search,show_contacts,insider_interview,url,alternate_url,relations,employer,snippet,contacts,schedule,working_days,working_time_intervals,working_time_modes,accept_temporary,fly_in_fly_out_duration,work_format,working_hours,work_schedule_by_days,accept_labor_contract,civil_law_contracts,night_shifts,professional_roles,accept_incomplete_resumes,experience,employment,employment_form,internship,adv_response_url,is_adv_vacancy,adv_context,branding,brand_snippet
131040079,False,Водитель-испытатель,,False,True,"{'id': '159', 'name': 'Астана', 'url': 'https://api.hh.ru/areas/159'}","{'from': 450000, 'to': None, 'currency': 'KZT', 'gross': False}","{'from': 450000, 'to': None, 'currency': 'KZT', 'gross': False, 'mode': {'id': 'MONTH', 'name': 'За\xa0месяц'}, 'frequency': {'id': 'TWICE_PER_MONTH', 'name': 'Два раза в\xa0месяц'}}","{'id': 'open', 'name': 'Открытая'}",,,,2026-03-06T18:19:57+0300,2026-03-06T18:19:57+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=131040079,,False,,https://api.hh.ru/vacancies/131040079?host=hh.ru,https://hh.ru/vacancy/131040079,[],"{'id': '10947523', 'name': 'OEM LAB', 'url': 'https://api.hh.ru/employers/10947523', 'alternate_url': 'https://hh.ru/employer/10947523', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/1408213.png', '90': 'https://img.hhcdn.ru/employer-logo/7252512.png', '240': 'https://img.hhcdn.ru/employer-logo/7252513.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=10947523', 'country_id': 3, 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Наличие водительского удостоверения категории «B» (обязательно), «С» (желательно). Общий водительский стаж не менее 5 лет. Отличное знание ПДД, карты города. ', 'responsibility': 'Ведение отчётной документации о проделанной работе, формирование обратной связи <highlighttext>разработчикам</highlighttext>. Соблюдение ПДД. Безопасное управление автомобилем в любых дорожно-климатических условиях. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],True,[],"[{'id': 'FIELD_WORK', 'name': 'Разъездной'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'SIX_ON_ONE_OFF', 'name': '6/1'}]",False,"[{'id': 'SELF_EMPLOYED', 'name': 'с\xa0самозанятым'}, {'id': 'INDIVIDUAL_ENTREPRENEUR', 'name': 'с\xa0ИП'}]",True,"[{'id': '21', 'name': 'Водитель'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'project', 'name': 'Проектная работа'}","{'id': 'PROJECT', 'name': 'Проект'}",False,,False,,,
130950660,False,Главный юрист,,False,False,"{'id': '159', 'name': 'Астана', 'url': 'https://api.hh.ru/areas/159'}",,,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Астана', 'street': None, 'building': None, 'lat': 51.128201, 'lng': 71.430429, 'description': None, 'raw': 'Астана', 'metro': None, 'metro_stations': [], 'id': '23864523'}",,,2026-03-04T09:58:38+0300,2026-03-04T09:58:38+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=130950660,,True,,https://api.hh.ru/vacancies/130950660?host=hh.ru,https://hh.ru/vacancy/130950660,[],"{'id': '12646450', 'name': 'Кармет Индустриальные Материалы', 'url': 'https://api.hh.ru/employers/12646450', 'alternate_url': 'https://hh.ru/employer/12646450', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=12646450', 'country_id': 3, 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Высшее юридическое образование. Опыт работы главным юристом от 8 лет. Опыт в сфере недропользования будет большим плюсом. Ответственность и внимательность...', 'responsibility': 'Правовое сопровождение деятельности компании. <highlighttext>Разработка</highlighttext> и анализ договоров. Консультирование по юридическим вопросам. Взаимодействие с контролирующими органами. Обеспечение соблюдения законодательства в...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,[],False,"[{'id': '146', 'name': 'Юрист'}]",True,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,,,
131023727,False,Инженер-механик,,False,False,"{'id': '159', 'name': 'Астана', 'url': 'https://api.hh.ru/areas/159'}","{'from': 500000, 'to': 800000, 'currency': 'KZT', 'gross': True}","{'from': 500000, 'to': 800000, 'currency': 'KZT', 'gross': True, 'mode': {'id': 'MONTH', 'name': 'За\xa0месяц'}, 'frequency': {'id': 'MONTHLY', 'name': 'Раз в\xa0месяц'}}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Нур-Султан (Астана)', 'street': 'улица Орынбор', 'building': '12', 'lat': 51.111732, 'lng': 71.406866, 'description': None, 'raw': 'Нур-Султан (Астана), улица Орынбор, 12', 'metro': None, 'metro_stations': [], 'id': '6370862'}",,,2026-03-06T10:50:10+0300,2026-03-06T10:50:10+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=131023727,,True,,https://api.hh.ru/vacancies/131023727?host=hh.ru,https://hh.ru/vacancy/131023727,[],"{'id': '5173566', 'name': 'DVM Systems', 'url': 'https://api.hh.ru/employers/5173566', 'alternate_url': 'https://hh.ru/employer/5173566', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original-round/3983518.png', '90': 'https://img.hhcdn.ru/employer-logo-round/3983519.png', '240': 'https://img.hhcdn.ru/employer-logo-round/3983520.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=5173566', 'country_id': 3, 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Знание графических программ. Знание CAD программ. Опыт работы с CNC станками. Базовые знания работы с 3D принтером и лазерным...', 'responsibility': 'Работа с графическими программами. Использование CAD программ для работы с 3D принтером. Управление и настройка станков с ЧПУ. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}, {'id': 'FIELD_WORK', 'name': 'Разъездной'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",True,[],False,"[{'id': '111', 'name': 'Сервисный инженер, инженер-механик'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,,,
130576299,False,Мойщик посуды,,False,False,"{'id': '159', 'name': 'Астана', 'url': 'https://api.hh.ru/areas/159'}","{'from': None, 'to': 15000, 'currency': 'KZT', 'gross': False}","{'from': None, 'to': 15000, 'currency': 'KZT', 'gross': False, 'mode': {'id': 'SHIFT', 'name': 'За\xa0смену'}, 'frequency': {'id': 'TWICE_PER_MONTH', 'name': 'Два раза в\xa0месяц'}}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Астана', 'street': 'улица Кайрата Рыскулбекова', 'building': '27/2', 'lat': 51.159139, 'lng': 71.499465, 'description': None, 'raw': 'Астана, улица Кайрата Рыскулбекова, 27/2', 'metro': None, 'metro_stations': [], 'id': '23403532'}",,,2026-02-18T15:52:38+0300,2026-02-18T15:52:38+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=130576299,,True,,https://api.hh.ru/vacancies/130576299?host=hh.ru,https://hh.ru/vacancy/130576299,[],"{'id': '12618933', 'name': 'Qazan plov', 'url': 'https://api.hh.ru/employers/12618933', 'alternate_url': 'https://hh.ru/employer/12618933', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=12618933', 'country_id': 3, 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт работы пекарем, тестовиком или кондитером от 1 года. Знание технологий приготовления теста и выпечки. Аккуратность, ответственность, любовь к своему...', 'responsibility': 'Соблюдение рецептур и стандартов качества. Контроль за свежестью и хранением продукции. Поддержание чистоты на рабочем месте. Участие в <highlighttext>разработке</highlighttext> новых...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_12', 'name': '12\xa0часов'}]","[{'id': 'SIX_ON_ONE_OFF', 'name': '6/1'}]",False,[],False,"[{'id': '102', 'name': 'Разнорабочий'}]",True,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,,,
131027746,False,QA Engineer,,False,False,"{'id': '159', 'name': 'Астана', 'url': 'https://api.hh.ru/areas/159'}",,,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Лимасол', 'street': None, 'building': None, 'lat': 34.68701, 'lng': 33.03628, 'description': None, 'raw': 'Лимасол', 'metro': None, 'metro_stations': [], 'id': '19949428'}",,,2026-03-06T12:13:33+0300,2026-03-06T12:13:33+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=131027746,,False,,https://api.hh.ru/vacancies/131027746?host=hh.ru,https://hh.ru/vacancy/131027746,[],"{'id': '11687581', 'name': 'ЧК ADVANCED PAYMENT SOLUTIONS Ltd.', 'url': 'https://api.hh.ru/employers/11687581', 'alternate_url': 'https://hh.ru/employer/11687581', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/1397685.png', '90': 'https://img.hhcdn.ru/employer-logo/7210515.png', '240': 'https://img.hhcdn.ru/employer-logo/7210516.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=11687581', 'country_id': 3, 'accredited_it_employer': False, 'trusted': True}","{'requirement': '2+ years of experience in QA testing (fintech or technology sector preferred). Experience in manual testing of web applications...', 'responsibility': 'Maintain clear and structured QA documentation. Liaise with <highlighttext>developers</highlighttext>, IT and product managers, and other internal stakeholders to understand product...'}",,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],False,[],"[{'id': 'REMOTE', 'name': 'Удалённо'}, {'id': 'HYBRID', 'name': 'Гибрид'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,[],False,"[{'id': '124', 'name': 'Тестировщик'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,,,
130860473,False,Проектный менеджер,,False,True,"{'id': '159', 'name': 'Астана', 'url': 'https://api.hh.ru/areas/159'}","{'from': 500000, 'to': 1200000, 'currency': 'KZT', 'gross': True}","{'from': 500000, 'to': 1200000, 'currency': 'KZT', 'gross': True, 'mode': {'id': 'MONTH', 'name': 'За\xa0месяц'}, 'frequency': {'id': 'MONTHLY', 'name': 'Раз в\xa0месяц'}}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Астана', 'street': 'улица Достык', 'building': '8Б', 'lat': 51.126794, 'lng': 71.421796, 'description': None, 'raw': 'Астана, улица Достык, 8Б', 'metro': None, 'metro_stations': [], 'id': '23777511'}",,,2026-03-02T07:49:37+0300,2026-03-02T07:49:37+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=130860473,,False,,https://api.hh.ru/vacancies/130860473?host=hh.ru,https://hh.ru/vacancy/130860473,[],"{'id': '10243816', 'name': 'DATAVISION', 'url': 'https://api.hh.ru/employers/10243816', 'alternate_url': 'https://hh.ru/employer/10243816', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original-round/7110629.png', '90': 'https://img.hhcdn.ru/employer-logo-round/7110630.png', '240': 'https://img.hhcdn.ru/employer-logo-round/7110631.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=10243816', 'country_id': 3, 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Высшее образование в области управления проектами, маркетинга, ИТ или смежных областях. Опыт работы в сфере цифрового маркетинга или в диджитал...', 'responsibility': 'Координация работы внутренних команд (дизайнеров, <highlighttext>разработчиков</highlighttext>, маркетологов и других специалистов) для достижения целей проекта. Оценка рисков и <highlighttext>разработка</highlighttext> стратегий по...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",True,[],False,"[{'id': '107', 'name': 'Руководитель проектов'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,,,
131055670,False,Junior Python developer,,False,False,"{'id': '159', 'name': 'Астана', 'url': 'https://api.hh.ru/areas/159'}",,,"{'id': 'open', 'name': 'Открытая'}",,,,2026-03-09T15:01:24+0300,2026-03-09T15:01:24+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=131055670,,False,,https://api.hh.ru/vacancies/131055670?host=hh.ru,https://hh.ru/vacancy/131055670,[],"{'id': '2569275', 'name': 'Emphasoft', 'url': 'https://api.hh.ru/employers/2569275', 'alternate_url': 'https://hh.ru/employer/2569275', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original-round/3064715.jpeg', '90': 'https://img.hhcdn.ru/employer-logo-round/3064716.jpeg', '240': 'https://img.hhcdn.ru/employer-logo-round/3064717.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2569275', 'country_id': 1, 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Высшее техническое профильное образование (обязательно). Знаешь Python и имеешь опыт написания pet-проектов. Знаком(а) с Django. Понимаешь СУБД и...', 'responsibility': 'Emphasoft — международная компания по <highlighttext>разработке</highlighttext> программного обеспечения и аутстаффингу. Мы предоставляем отдельных инженеров или готовые команды для проектов, помогая проектировать...'}",,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],True,[],"[{'id': 'REMOTE', 'name': 'Удалённо'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': 'SELF_EMPLOYED', 'name': 'с\xa0самозанятым'}, {'id': 'INDIVIDUAL_ENTREPRENEUR', 'name': 'с\xa0ИП'}]",False,"[{'id': '96', 'name': 'Программист, разработчик'}]",False,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,,,
130974031,False,Офис-менеджер,"{'id': '11963936-11963936-develop', 'name': 'BI Group. BI Development '}",False,False,"{'id': '159', 'name': 'Астана', 'url': 'https://api.hh.ru/areas/159'}",,,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Астана', 'street': None, 'building': None, 'lat': 51.128201, 'lng': 71.430429, 'description': None, 'raw': 'Астана', 'metro': None, 'metro_stations': [], 'id': '20516794'}",,,2026-03-04T16:30:12+0300,2026-03-04T16:30:12+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=130974031,True,False,,https://api.hh.ru/vacancies/130974031?host=hh.ru,https://hh.ru/vacancy/130974031,[],"{'id': '11963936', 'name': 'BI Group', 'url': 'https://api.hh.ru/employers/11963936', 'alternate_url': 'https://hh.ru/employer/11963936', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/1418520.png', '90': 'https://img.hhcdn.ru/employer-logo/7293729.png', '240': 'https://img.hhcdn.ru/employer-logo/7293730.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=11963936', 'country_id': 3, 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт работы офис-менеджером / администратором от 1 года. Опыт взаимодействия с HR будет преимуществом. Навыки организации закупок и работы с...', 'responsibility': 'Организация бесперебойной работы офиса (контроль порядка, оснащения, взаимодействие с подрядчиками и поставщиками). Закуп и учет корпоративной формы, брендированной продукции и...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",True,[],False,"[{'id': '88', 'name': 'Офис-менеджер'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,,"{'type': 'MAKEUP', 'tariff': None}",
131018137,False,Главный менеджер Департамента институционального развития,,False,False,"{'id': '159', 'name': 'Астана', 'url': 'https://api.hh.ru/areas/159'}","{'from': 900000, 'to': None, 'currency': 'KZT', 'gross': False}","{'from': 900000, 'to': None, 'currency': 'KZT', 'gross': False, 'mode': {'id': 'MONTH', 'name': 'За\xa0месяц'}, 'frequency': {'id': 'TWICE_PER_MONTH', 'name': 'Два раза в\xa0месяц'}}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Астана', 'street': 'улица Достык', 'building': '18', 'lat': 51.124555, 'lng': 71.434301, 'description': None, 'raw': 'Астана, улица Достык, 18', 'metro': None, 'metro_stations': [], 'id': '23932720'}",,,2026-03-06T08:32:34+0300,2026-03-06T08:32:34+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=131018137,,True,,https://api.hh.ru/vacancies/131018137?host=hh.ru,https://hh.ru/vacancy/131018137,[],"{'id': '12619133', 'name': 'Государственный фонд Alatau City Authority', 'url': 'https://api.hh.ru/employers/12619133', 'alternate_url': 'https://hh.ru/employer/12619133', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=12619133', 'country_id': 3, 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Ключевые компетенции: Знание законодательства РК в сфере предпринимательской деятельности. Навыки <highlighttext>разработки</highlighttext> проектов нормативных правовых актов и (или) регуляторных актов. ', 'responsibility': '<highlighttext>Разработка</highlighttext>, экспертиза и (или) согласование проектов конституционного закона, проектов законов и иных нормативных правовых актов. <highlighttext>Разработка</highlighttext>, экспертиза и (или) согласование...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",True,[],False,"[{'id': '146', 'name': 'Юрист'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,,,
131046858,False,Воспитатель в группу неполного дня (+подготовка к школе) для детей с ООП,,False,False,"{'id': '159', 'name': 'Астана', 'url': 'https://api.hh.ru/areas/159'}","{'from': 250000, 'to': 350000, 'currency': 'KZT', 'gross': False}","{'from': 250000, 'to': 350000, 'currency': 'KZT', 'gross': False, 'mode': {'id': 'MONTH', 'name': 'За\xa0месяц'}, 'frequency': {'id': 'MONTHLY', 'name': 'Раз в\xa0месяц'}}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Астана', 'street': 'проспект Мангилик Ел', 'building': '28', 'lat': 51.110771, 'lng': 71.433447, 'description': None, 'raw': 'Астана, проспект Мангилик Ел, 28', 'metro': None, 'metro_stations': [], 'id': '16776291'}",,,2026-03-07T16:50:00+0300,2026-03-07T16:50:00+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=131046858,,True,,https://api.hh.ru/vacancies/131046858?host=hh.ru,https://hh.ru/vacancy/131046858,[],"{'id': '5051690', 'name': 'Шаг Вперед KZ', 'url': 'https://api.hh.ru/employers/5051690', 'alternate_url': 'https://hh.ru/employer/5051690', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/1401457.png', '90': 'https://img.hhcdn.ru/employer-logo/7225599.png', '240': 'https://img.hhcdn.ru/employer-logo/7225600.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=5051690', 'country_id': 3, 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Профильное образование в области педагогики или специального образования. Опыт работы с детьми с особенностями развития. Любовь и терпение к детям. ', 'responsibility': 'Взаимодействие с командой коррекционных педагогов для <highlighttext>разработки</highlighttext> и реализации индивидуальных программ. Создание поддерживающей и развивающей среды для детей с особыми...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}, {'id': 'OTHER', 'name': 'Другое'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}, {'id': 'OTHER', 'name': 'Другое'}]",True,[],False,"[{'id': '23', 'name': 'Воспитатель, няня'}]",True,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,,,
