id,premium,name,department,has_test,response_letter_required,area,salary,type,address,response_url,sort_point_distance,published_at,created_at,archived,apply_alternate_url,show_logo_in_search,insider_interview,url,alternate_url,relations,employer,snippet,contacts,schedule,working_days,working_time_intervals,working_time_modes,accept_temporary,fly_in_fly_out_duration,work_format,working_hours,work_schedule_by_days,night_shifts,professional_roles,accept_incomplete_resumes,experience,employment,employment_form,internship,adv_response_url,is_adv_vacancy,adv_context,branding
113847165,False,Заместитель Генерального директора,,False,False,"{'id': '159', 'name': 'Астана', 'url': 'https://api.hh.ru/areas/159'}","{'from': 600000, 'to': 800000, 'currency': 'KZT', 'gross': True}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Нур-Султан (Астана)', 'street': 'проспект Республики', 'building': '34А', 'lat': 51.173095, 'lng': 71.426036, 'description': None, 'raw': 'Нур-Султан (Астана), проспект Республики, 34А', 'metro': None, 'metro_stations': [], 'id': '4599424'}",,,2024-12-17T08:49:16+0300,2024-12-17T08:49:16+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=113847165,,,https://api.hh.ru/vacancies/113847165?host=hh.ru,https://hh.ru/vacancy/113847165,[],"{'id': '2853257', 'name': 'Canvas', 'url': 'https://api.hh.ru/employers/2853257', 'alternate_url': 'https://hh.ru/employer/2853257', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/785945.jpg', '240': 'https://img.hhcdn.ru/employer-logo/3584672.jpeg', '90': 'https://img.hhcdn.ru/employer-logo/3584671.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2853257', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Отдел продаж: Необходимы знания сквозной аналитики и мотивации команды. - Отдел маркетинга: Необходимы знания в цифромовм маркетинге и сквозной аналитике.', 'responsibility': 'Работа с ключевыми лицами. - Отдел <highlighttext>разработки</highlighttext> продукта: Необходимо понимание методологий гибкой <highlighttext>разработки</highlighttext> и управление проектами. - Участие в переговорах. - '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '35', 'name': 'Директор магазина, директор сети магазинов'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,,
114495152,False,Администратор,,False,False,"{'id': '159', 'name': 'Астана', 'url': 'https://api.hh.ru/areas/159'}","{'from': 700000, 'to': 1200000, 'currency': 'KZT', 'gross': True}","{'id': 'open', 'name': 'Открытая'}",,,,2024-12-22T15:19:50+0300,2024-12-22T15:19:50+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=114495152,,,https://api.hh.ru/vacancies/114495152?host=hh.ru,https://hh.ru/vacancy/114495152,[],"{'id': '11684191', 'name': 'КАЗАХСТАНСКАЯ КЕЙТЕРИНГОВАЯ КОМПАНИЯ', 'url': 'https://api.hh.ru/employers/11684191', 'alternate_url': 'https://hh.ru/employer/11684191', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=11684191', 'accredited_it_employer': False, 'trusted': False}","{'requirement': '2, иметь опыт административного управления не менее 1-3 лет, из которых более 1 года опыта работы на должности административного...', 'responsibility': '...целях развития бизнеса компании, точном прогнозировании потребностей в человеческих ресурсах, <highlighttext>разработке</highlighttext> научного и разумного плана найма, обучения, продвижения и удержания...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}, {'id': 'HOURS_9', 'name': '9 часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '8', 'name': 'Администратор'}]",True,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,,
113990151,False,Java-программист,,False,False,"{'id': '159', 'name': 'Астана', 'url': 'https://api.hh.ru/areas/159'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2024-12-18T06:53:49+0300,2024-12-18T06:53:49+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=113990151,,,https://api.hh.ru/vacancies/113990151?host=hh.ru,https://hh.ru/vacancy/113990151,[],"{'id': '2646339', 'name': 'Dilau Service', 'url': 'https://api.hh.ru/employers/2646339', 'alternate_url': 'https://hh.ru/employer/2646339', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/618725.png', '240': 'https://img.hhcdn.ru/employer-logo/2916053.png', '90': 'https://img.hhcdn.ru/employer-logo/2916052.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2646339', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Знание и опыт работы с Postgres. Знание и умение использовать различные алгоритмы и структуры данных. Опыт работы <highlighttext>разработчиком</highlighttext> Java от...', 'responsibility': '<highlighttext>Разработка</highlighttext> собственного продукта в области мониторинга и трекинга. Работа с кодом (рефакторинг и пр.). Реализация базируется на программных продуктах: − Объектно...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],True,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '96', 'name': 'Программист, разработчик'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,,
114301063,False,Юрист,,False,False,"{'id': '159', 'name': 'Астана', 'url': 'https://api.hh.ru/areas/159'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2024-12-20T15:22:59+0300,2024-12-20T15:22:59+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=114301063,,,https://api.hh.ru/vacancies/114301063?host=hh.ru,https://hh.ru/vacancy/114301063,[],"{'id': '10882388', 'name': 'Ronesans Infra Construction (Ронесанс Инфра Констракшн)', 'url': 'https://api.hh.ru/employers/10882388', 'alternate_url': 'https://hh.ru/employer/10882388', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=10882388', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Теоретические знания законодательства Казахстана: Гражданское законодательство, корпоративное право, трудовое право. Высшее юридическое образование. Знание английского языка будет преимуществом. ', 'responsibility': 'Консультации руководства компании по правовым вопросам. Договорная работа (<highlighttext>разработка</highlighttext>, переработка договоров). Доработка и регистрация внутренних документов и регламентов. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'SIX_ON_ONE_OFF', 'name': '6/1'}]",False,"[{'id': '146', 'name': 'Юрист'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,,
113741136,False,"Веб-дизайнер (Figma, Tilda, Elementor, UI\UX)",,False,False,"{'id': '159', 'name': 'Астана', 'url': 'https://api.hh.ru/areas/159'}","{'from': 200000, 'to': 400000, 'currency': 'KZT', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2024-12-16T16:18:56+0300,2024-12-16T16:18:56+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=113741136,,,https://api.hh.ru/vacancies/113741136?host=hh.ru,https://hh.ru/vacancy/113741136,[],"{'id': '9002430', 'name': 'Evolute', 'url': 'https://api.hh.ru/employers/9002430', 'alternate_url': 'https://hh.ru/employer/9002430', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=9002430', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Знание Figma. Быть онлайн в рабочее время, отвечать на звонки. Создавать красивый современный дизайн.', 'responsibility': 'Создавать дизайн для веб-сайтов, мобильных приложений, онлайн порталов. Работать в команде с <highlighttext>разработчиками</highlighttext>. Вносить правки и изменения оперативно. '}",,"{'id': 'flexible', 'name': 'Гибкий график'}",[],[],[],False,[],"[{'id': 'HYBRID', 'name': 'Гибрид'}]","[{'id': 'FLEXIBLE', 'name': 'По\xa0договорённости'}]","[{'id': 'SIX_ON_ONE_OFF', 'name': '6/1'}, {'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '34', 'name': 'Дизайнер, художник'}]",True,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,,
114478152,False,Руководитель отдела продаж,,False,False,"{'id': '159', 'name': 'Астана', 'url': 'https://api.hh.ru/areas/159'}","{'from': 2000000, 'to': None, 'currency': 'KZT', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2024-12-22T12:14:57+0300,2024-12-22T12:14:57+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=114478152,,,https://api.hh.ru/vacancies/114478152?host=hh.ru,https://hh.ru/vacancy/114478152,[],"{'id': '9070256', 'name': 'SALAR GROUP', 'url': 'https://api.hh.ru/employers/9070256', 'alternate_url': 'https://hh.ru/employer/9070256', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/5810474.jpeg', '90': 'https://img.hhcdn.ru/employer-logo/5810473.jpeg', 'original': 'https://img.hhcdn.ru/employer-logo-original/1047455.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=9070256', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт работы на руководящей позиции в продажах от 3 лет. - Умение настраивать и эффективно использовать AmoCRM или аналогичные системы. - ', 'responsibility': 'Формирование и управление командой менеджеров по продажам: подбор, обучение, мотивация и контроль. - <highlighttext>Разработка</highlighttext> и внедрение стратегий для привлечения новых резидентов...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '106', 'name': 'Руководитель отдела продаж'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,,
113287958,False,"Руководитель проекта АО «Национальный управляющий холдинг ""Байтерек""",,False,False,"{'id': '159', 'name': 'Астана', 'url': 'https://api.hh.ru/areas/159'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2024-12-13T13:02:54+0300,2024-12-13T13:02:54+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=113287958,,,https://api.hh.ru/vacancies/113287958?host=hh.ru,https://hh.ru/vacancy/113287958,[],"{'id': '866449', 'name': 'Развития предпринимательства Даму', 'url': 'https://api.hh.ru/employers/866449', 'alternate_url': 'https://hh.ru/employer/866449', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/2954068.jpeg', '240': 'https://img.hhcdn.ru/employer-logo/2954069.jpeg', 'original': 'https://img.hhcdn.ru/employer-logo-original/628229.jpg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=866449', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Навыки по использованию инструментов визуализации бизнес-процессов. Навыки стратегического планирования. Навыки <highlighttext>разработки</highlighttext> нормативной документации. Навыки деловой переписки, ведения переговоров. ', 'responsibility': None}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '26', 'name': 'Генеральный директор, исполнительный директор (CEO)'}]",False,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,,
113740750,False,Бухгалтер на первичную документацию,,False,True,"{'id': '159', 'name': 'Астана', 'url': 'https://api.hh.ru/areas/159'}","{'from': 200000, 'to': 400000, 'currency': 'KZT', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Нур-Султан (Астана)', 'street': 'микрорайон Юго-Восток (левая сторона), улица Ыргыз', 'building': '25', 'lat': 51.145885, 'lng': 71.510891, 'description': None, 'raw': 'Нур-Султан (Астана), микрорайон Юго-Восток (левая сторона), улица Ыргыз, 25', 'metro': None, 'metro_stations': [], 'id': '4983603'}",,,2024-12-16T16:10:21+0300,2024-12-16T16:10:21+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=113740750,,,https://api.hh.ru/vacancies/113740750?host=hh.ru,https://hh.ru/vacancy/113740750,[],"{'id': '5124041', 'name': 'POSCENTER.KZ', 'url': 'https://api.hh.ru/employers/5124041', 'alternate_url': 'https://hh.ru/employer/5124041', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/1260348.jpg', '90': 'https://img.hhcdn.ru/employer-logo/6661718.jpeg', '240': 'https://img.hhcdn.ru/employer-logo/6661719.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=5124041', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Высокая эмпатия и стремление помогать другим. Ответственность, внимательность к деталям и командный дух. Уверенное владение ПК. Рассмотрим с минимальным опытом...', 'responsibility': 'Оформление дополнительных соглашений, накладных, счетов-фактур, писем, заявок. Учет движения ТМЦ, участие в инвентаризации. Проведение инвентаризаций ТМЦ и ОС на...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'SIX_ON_ONE_OFF', 'name': '6/1'}]",False,"[{'id': '18', 'name': 'Бухгалтер'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,,
113851605,False,Таргетолог,,False,False,"{'id': '159', 'name': 'Астана', 'url': 'https://api.hh.ru/areas/159'}","{'from': 100000, 'to': 700000, 'currency': 'KZT', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2024-12-17T10:04:07+0300,2024-12-17T10:04:07+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=113851605,,,https://api.hh.ru/vacancies/113851605?host=hh.ru,https://hh.ru/vacancy/113851605,[],"{'id': '1401295', 'name': 'ABC Design', 'url': 'https://api.hh.ru/employers/1401295', 'alternate_url': 'https://hh.ru/employer/1401295', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/2829967.png', '240': 'https://img.hhcdn.ru/employer-logo/2829968.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/597178.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1401295', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт работы от 3 лет. Умение работать с Meta (Facebook/Instagram), Google Ads, TikTok Ads, тelegram. Знание Google Analytics, UTM...', 'responsibility': 'Создание креативов и взаимодействие с дизайнером и копирайтером. <highlighttext>Разработка</highlighttext> стратегии продвижения. Анализ вашего бизнеса и преимуществ клиента. Анализ ЦА и...'}",,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],False,[],"[{'id': 'REMOTE', 'name': 'Удалённо'}, {'id': 'FIELD_WORK', 'name': 'Разъездной'}]","[{'id': 'HOURS_5', 'name': '5 часов'}]","[{'id': 'FLEXIBLE', 'name': 'Свободный'}]",False,"[{'id': '68', 'name': 'Менеджер по маркетингу, интернет-маркетолог'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'part', 'name': 'Частичная занятость'}","{'id': 'PART', 'name': 'Частичная'}",False,,False,,
114273929,False,Операционный директор производственного предприятия,,False,True,"{'id': '159', 'name': 'Астана', 'url': 'https://api.hh.ru/areas/159'}","{'from': 1000000, 'to': None, 'currency': 'KZT', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Астана', 'street': 'улица Кимасар', 'building': '9Б', 'lat': 51.181215, 'lng': 71.515545, 'description': None, 'raw': 'Астана, улица Кимасар, 9Б', 'metro': None, 'metro_stations': [], 'id': '16871796'}",,,2024-12-23T09:00:04+0300,2024-12-23T09:00:04+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=114273929,,,https://api.hh.ru/vacancies/114273929?host=hh.ru,https://hh.ru/vacancy/114273929,[],"{'id': '1578382', 'name': 'XPOM-KZ', 'url': 'https://api.hh.ru/employers/1578382', 'alternate_url': 'https://hh.ru/employer/1578382', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/1571622.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/282306.png', '240': 'https://img.hhcdn.ru/employer-logo/1571623.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1578382', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Вы — профессионал с опытом управления операционной деятельностью на производственном предприятии. Вы знаете, как организовать эффективную работу команды, оптимизировать процессы и...', 'responsibility': 'Взаимодействие с ключевыми клиентами и партнёрами для реализации сложных и нестандартных проектов. <highlighttext>Разработка</highlighttext> и внедрение стратегий для достижения амбициозных бизнес...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': '87', 'name': 'Операционный директор (COO)'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,,
