Name,City,Salary_From,Salary_To,Currency,Experience,Employment_Type,Role
водитель-испытатель,астана,450000.0,,KZT,от 1 года до 3 лет,проектная работа,водитель
инженер-механик,астана,500000.0,800000.0,KZT,от 1 года до 3 лет,полная занятость,"сервисный инженер, инженер-механик"
мойщик посуды,астана,,15000.0,KZT,нет опыта,полная занятость,разнорабочий
проектный менеджер,астана,500000.0,1200000.0,KZT,от 1 года до 3 лет,полная занятость,руководитель проектов
главный менеджер департамента институционального развития,астана,900000.0,,KZT,более 6 лет,полная занятость,юрист
воспитатель в группу неполного дня (+подготовка к школе) для детей с ооп,астана,250000.0,350000.0,KZT,от 1 года до 3 лет,полная занятость,"воспитатель, няня"
офис-менеджер,астана,400000.0,,KZT,от 1 года до 3 лет,полная занятость,офис-менеджер
директор департамента по хозяйственной работе,астана,800000.0,,KZT,от 3 до 6 лет,полная занятость,менеджер/руководитель ахо
офис-менеджер с ведением кадрового производства,астана,499999.0,500000.0,KZT,от 3 до 6 лет,полная занятость,офис-менеджер
шеф-повар,астана,750000.0,,KZT,от 1 года до 3 лет,полная занятость,"повар, пекарь, кондитер"
главный специалист по работе с персоналом,астана,675000.0,740000.0,KZT,от 1 года до 3 лет,полная занятость,специалист по кадрам
маркетолог менеджер,астана,1000000.0,,KZT,от 1 года до 3 лет,полная занятость,"менеджер по маркетингу, интернет-маркетолог"
шеф-повар,астана,,1000000.0,KZT,от 3 до 6 лет,полная занятость,"повар, пекарь, кондитер"
менеджер кофейни,астана,300000.0,400000.0,KZT,от 1 года до 3 лет,полная занятость,менеджер ресторана
hr менеджер,астана,500000.0,500000.0,KZT,от 1 года до 3 лет,полная занятость,менеджер по персоналу
шеф де бар,астана,500000.0,,KZT,более 6 лет,полная занятость,"повар, пекарь, кондитер"
заместитель генерального директора,астана,1000000.0,,KZT,от 3 до 6 лет,полная занятость,другое
главный инженер,астана,700000.0,700000.0,KZT,более 6 лет,полная занятость,начальник производства
frontend-разработчик (react ts),астана,600000.0,700000.0,KZT,более 6 лет,полная занятость,"программист, разработчик"
qa инженер,астана,380000.0,,KZT,от 1 года до 3 лет,полная занятость,тестировщик
